기간	자치구	동	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체
기간	자치구	동	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	동	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	마포구	망원2동	1,360	515	4,614	2,597	2,017	1,139	2,372	153	1,643	17	318	51	281
2017	마포구	연남동	1,611	585	6,441	3,516	2,925	1,232	2,838	315	3,052	29	392	35	159
2017	마포구	성산1동	1,488	430	13,161	9,299	3,862	946	2,357	435	9,871	54	646	53	287
2017	마포구	성산2동	1,747	641	12,091	5,678	6,413	1,369	3,159	270	4,992	41	3,254	67	686
2017	마포구	상암동	2,324	804	37,364	22,952	14,412	1,447	4,213	718	28,750	105	3,829	54	572
2017	마포구	도화동	2,047	654	15,957	8,162	7,795	1,260	3,254	671	11,443	55	918	61	342
2017	마포구	서강동	1,779	609	11,995	6,102	5,893	1,346	3,421	354	5,407	44	2,907	35	260
2017	마포구	공덕동	2,781	937	19,160	9,984	9,176	2,033	4,898	565	11,874	104	1,865	79	523
2017	마포구	아현동	1,630	596	12,154	7,066	5,088	1,109	2,873	438	7,726	47	1,202	36	353
2017	양천구	소계	26,077	9,626	119,943	63,780	56,163	21,799	52,609	2,940	42,126	464	20,047	874	5,161
2017	양천구	목1동	2,943	1,157	21,054	10,628	10,426	1,971	6,522	855	11,918	73	2,049	44	565
2017	양천구	목2동	1,145	435	4,186	2,214	1,972	980	2,252	109	1,301	14	444	42	189
2017	양천구	목3동	1,233	523	4,938	2,620	2,318	1,082	2,523	103	2,009	17	274	31	132
2017	양천구	목4동	1,352	637	3,950	1,753	2,197	1,212	2,702	76	769	6	332	58	147
2017	양천구	신월1동	1,853	704	5,569	3,028	2,541	1,653	3,552	118	1,588	14	230	68	199
2017	양천구	신월2동	1,223	376	4,039	2,289	1,750	1,036	2,177	109	1,149	19	419	59	294
2017	양천구	신월3동	955	286	4,126	2,546	1,580	807	1,752	97	1,569	24	676	27	129
2017	양천구	신월4동	1,174	404	3,992	2,455	1,537	1,041	2,011	60	1,385	10	197	63	399
2017	양천구	신월5동	1,013	374	4,814	2,847	1,967	887	2,245	73	1,546	17	926	36	97
2017	양천구	신월6동	1,387	175	3,329	2,352	977	1,297	1,980	63	1,084	10	211	17	54
2017	양천구	신월7동	1,384	462	5,674	3,731	1,943	1,185	2,455	112	1,913	14	991	73	315
2017	양천구	신정1동	1,148	527	5,075	2,323	2,752	998	2,305	87	880	26	1,587	37	303
2017	양천구	신정2동	1,110	464	3,688	1,676	2,012	982	2,436	73	685	13	394	42	173
2017	양천구	신정3동	1,795	574	9,428	5,444	3,984	1,482	3,362	210	3,967	38	1,530	65	569
